juez_id,nombre,email,telefono
60,"Dr. Castro, Fernando Jose",,4371-6485/9513
61,"Dr. Catania, Alejandro J.",,4130-6126/6127
62,"Dr. Caunedo, Fernando Mario",,
63,"Dr. Cavassa, Walter",,
64,"Dr. Chaban, Emir Karim",,
65,"Dr. Chediek, Carlos Mariano R.",,4812-0525/0883
66,"Dr. Cicciaro, Juan Esteban",cncrimcorr.voc21@pjn.gov.ar,4370-4921
67,"Dr. Cisneros, Tomás Santiago",,
68,"Dr. Corallo, Tomas",,
69,"Dr. Coronel, Nicolás Eduardo",,
70,"Dr. Cresta, Guido Damián",,
71,"Dr. Croucher, Pablo Ernesto",jncrimcorr52.sec60@pjn.gov.ar,2205-8005/06/07/09/10
72,"Dr. Cura , Juan Jose",,
73,"Dr. D'Elia, Carlos Daniel",,
74,"Dr. De Campos, Manuel Arturo",,
75,"Dr. De La Fuente, Javier Esteban",,4812-0344/4531
76,"Dr. De Santo, Jorge Anselmo",jncrimcorr46@pjn.gov.ar,
77,"Dr. De Schutere, Enrique María",,
78,"Dr. De Simoni, Sebastian Pablo",,4371-2161
79,"Dr. De la Torre, Fabian Xavier Patricio",,
80,"Dr. Decaria, Hugo",,
81,"Dr. Del Gaizo, Sebastián Ramiro",,
82,"Dr. Del Viso, Martín Carlos",jncrimcorr28.sec142@pjn.gov.ar - jncrimcorr28@pjn.gov.ar,
83,"Dr. Di Nesta, Fabián",fabian.di-nesta@pjn.gov.ar,
84,"Dr. Dialeva Balmaceda, Maximiliano",,
85,"Dr. Dias, Horacio Leonardo",,4379-2188/2190
86,"Dr. Diaz, Máximo Nicolas",,4124-7094
87,Dr. Diego Seitún,,(11) 4370 4626
88,"Dr. Divito, Mauro Antonio",,
89,"Dr. Donarini, Horacio Diego",,4379-2154
90,"Dr. Días, Horacio Leonardo",,4124-6637
91,"Dr. Echegaray, Sergio Alejandro",,4032-7146
92,"Dr. Ercolini, Julián Daniel",,4032-7174
93,"Dr. Farah, Eduardo Guillermo",,4032-7517
94,"Dr. Febre, Pablo Andrés",pablo.febre@pjn.gov.ar,4032-7168
95,"Dr. Fera Gomez, Diego Martín",,4130-6131/6133
96,"Dr. Fernandez, Marcos Andres",,
97,Dr. Fernando Javier Arnedo,,
98,"Dr. Fernández, Leandro Javier",,
99,"Dr. Ferro, Alejandro Héctor",jncrimcorr36@pjn.gov.ar,
100,"Dr. Fornari, Ignacio Carlos",,4032-7337
101,"Dr. Fornasari, Federico",,4032-7178
102,"Dr. Friele, Guillermo Enrique",,4813-0956/4811 4672
103,"Dr. Gallo, Diego",,4379-0108
104,"Dr. Galván Greenway, Juan Pedro",,4130-6277
105,"Dr. Gamboa, Enrique J.",,4 124-0949/53
106,"Dr. García Berro, Diego",,4032-7339
107,"Dr. Gatto, Damian",,4124 0966
108,"Dr. Gegunded, Alberto",,
109,"Dr. Gemignani, Juan Carlos",,4032-7394
110,"Dr. Ghersi, Sebastian",,
111,"Dr. Ghirlanda, Gabriel Omar",,
112,"Dr. Giménez Uriburu, Rodrigo",,4032 7254/55
113,"Dr. Giudice Bravo, Juan",,
114,"Dr. Godoy, Alfredo",,
115,"Dr. Goerner, Rodolfo Gustavo",toc29@pjn.gov.ar,4813-7312
116,"Dr. González Ferrari , Gustavo",,4382-0944
117,"Dr. González Gusmerotti, José Luis",,4130-6528
118,"Dr. González, Federico",federicog.gonzalez@pjn.gov.ar,4371-4907
119,"Dr. Gordillo Torres, Juan Manuel",,
120,"Dr. Gorini, Jorge Luciano",,4032-7247
121,"Dr. Grangeat, Juan Manuel",juan.grangeat@pjn.gov.ar,4032-7171
122,"Dr. Grunberg, Adrian Federico",,4032 7244/ 45
123,"Dr. Guardia, Diego Leif",,4124-0949/53
124,"Dr. Guerrero, Francisco",,
125,"Dr. Hernandez , Diego",,4371 4599/43716815
126,"Dr. Herrera, Julio Andres",,4371-6850
127,"Dr. Hornos, Gustavo M.",,4032-7436
128,"Dr. Hornos, Roberto Enrique",,4130-6114
129,"Dr. Huarte Petite, Alberto",,4371-2003/9966
130,"Dr. Idoyaga Molina, Rodrigo",,4032-7361
131,"Dr. Iriarte, Ignacio Fabián",ignacio.iriarte@pjn.gov.ar,
132,"Dr. Irurzun, Martin",,4032-7532
133,"Dr. Iturralde, Mariano",,
134,"Dr. Jantus, Pablo",,4124-6633
135,"Dr. Jorge, Leonardo",,4032-7677
136,"Dr. Kirszenbaum, Damian Ignacio",,
137,"Dr. Krause Mayol , Javier G.",,4130-6144/6145/6146
138,"Dr. Labadens, Ignacio",,4032 7244/45
139,"Dr. Laderach, Federico",,
140,"Dr. Laiño Dondiz, Manuel",dondiz.laino@pjn.gov.ar,4130-3137
141,"Dr. Laiño, Lauro Fernan",,4302-7589
142,"Dr. Larrabure, Francisco Agustín",,
143,"Dr. Laufer, Pablo",pablo.laufer@pjn.gov.ar,4124 0929/31/36/37/47
144,"Dr. Leiva, Ricardo Jorge",,
145,"Dr. Lijo, Ariel Oscar",,4032-7126
146,"Dr. Litvack, Alejandro",,
147,"Dr. Llauro, Santiago",,
148,"Dr. Llorens, Mariano",,4032-7512
149,"Dr. Losada, Luis Gustavo",,
150,"Dr. Lucero, Pablo Guillermo",cncrimcorr.voc4@pjn.gov.ar,4370-4938
151,"Dr. Lucini, Julio Marcelo",cncrimcorr.voc7@pjn.gov.ar - julio.lucini@pjn.gov.ar,4370-4909
152,"Dr. Luis Roberto José, Salas",,4371-2003/9966
153,"Dr. Luxardo, Patricio Martín",,
154,"Dr. López Biscayart, Javier",,4124-7070
155,"Dr. López, Hernán Martín",cncrimcorr.voc16@pjn.gov.ar,4370-4922
156,"Dr. López, Santiago A.",,4124-6625
157,"Dr. Maciocio, Roxana A",,4371-4229/0564
158,"Dr. Madariaga, Martín Miguel",,
159,"Dr. Magariños, Mario",,4124-6626
160,"Dr. Magnone, Walter Daniel",,4032-7399
161,"Dr. Mahiques, Carlos Alberto",,4032-7408/7370
162,"Dr. Maneiro, Fernando",,4379-2188/2190
163,"Dr. Manoukian, Sergio",,
164,"Dr. Mariño, Ramiro Ariel",ramiro.marino@pjn.gov.ar,4370-4928
165,"Dr. Marrollo, Alejandro Ezequiel",,
166,"Dr. Martinez De Giorgi, Marcelo Pedro H.",,4032-7158
167,"Dr. Martinez Farre, Guillermo Carlos",,
168,"Dr. Martinez Murias, Ignacio",,
169,"Dr. Martín, Adrián Norberto",,4124 0966/74
170,"Dr. Mazzucco, Damián M.",damian.mazzucco@pjn.gov.ar,0297 446-2208
171,"Dr. Medina, Darío Martín",,4124-0961
172,"Dr. Meirovich, Gustavo Darìo",,4130-6284/6285
173,"Dr. Mercader, Patricio Hernan",,4032-7356
174,"Dr. Michetti, Marcelo J.",,4813-0956/4811-7163/4672
175,"Dr. Michilini, José Antonio",,4790-1374/4794-6446
176,"Dr. Mihura Gradin, Sixto",,4373-0125 / 4371-8748
177,"Dr. Misculin , Gustavo Ivan",,4130-6329/30/31
178,"Dr. Mongelo, Juan Martin",,
179,"Dr. Morin, Daniel Emilio",,4124-6629
180,"Dr. Moya, Pablo",,
181,"Dr. Muffatti, Marcelo Alberto",,
182,"Dr. Murano, Esteban Horacio",,4032-7114
183,"Dr. Márquez, Luis Oscar",,4124-0961
184,"Dr. Nardiello, Angel Gabriel",,
185,"Dr. Navarro, Hugo Daniel",toc29@pjn.gov.ar,4813-7312
186,Dr. Nestor Alfredo Cafferatta,,(11) 4370 4476
187,"Dr. Noceti Achával, Alejandro",,4375-0883/4371-0750
188,"Dr. Noguera, Leandro",jncrimcorrfed5.sec10@pjn.gov.ar,4032-7138
189,"Dr. Oppel, Nicolás Elías",,
190,"Dr. Ortea Escandón, Rafael",,4032-7162
191,"Dr. Ortega, Jose Luis",,4124-5407
192,"Dr. Paduczak, Sergio Adrián",,4032-7297/7296
193,"Dr. Palazzi, Fernando SEbastián",,4130-6129
194,"Dr. Pandiella, Hernan Vicente",,4130-6456/6458
195,"Dr. Pedroso, Julio Augusto",,
196,"Dr. Peluso, Martín Sebastián",,
197,"Dr. Pereyra, Javier Rodrigo",javier.pereyra@pjn.gov.ar,4 370 5158
198,"Dr. Perez Arias, Jose",,
199,"Dr. Perez Lance, Adrian Augusto",,4371-3665/4372-9266
200,"Dr. Petrecca, Juan Pablo",,
201,"Dr. Petrone, Daniel Antonio",,4032-7397
202,"Dr. Piendibene, Adolfo Omar",,4032-7101
203,"Dr. Pierretti, Gustavo Miguel",,
204,"Dr. Pinto, Ricardo Matias",cncrimcorr.voc11@pjn.gov.ar,4370-4931
205,"Dr. Plater, Jorge Douglas",,
206,"Dr. Pociello Argerich, Rodolfo",rodolfo.pociello-argerich@pjn.gov.ar,
207,"Dr. Pogonza, Ovidio",jncrimcorr54@pjn.gov.ar,
208,"Dr. Polverini, Jorge Horacio",,
209,"Dr. Poncio, Santiago Alberto",,
210,"Dr. Pozzi, Dario Anibal",,4032-7545
211,"Dr. Quian Zavalia, Santiago",,
212,"Dr. Quiñones, Julio Pablo",,
213,"Dr. Rabbione, Edmundo",,
214,"Dr. Rafecas, Daniel Eduardo",jncrimcorrfed3@pjn.gov.ar,4032-7118
215,"Dr. Ramirez, Fernando Ramon",,4371-2165/9174
216,"Dr. Ramirez, Gustavo Ariel",gustavo.ramirez@pjn.gov.ar,4032-7167
217,"Dr. Ramos Padilla, Juan María",toc29@pjn.gov.ar,4813-7312
218,"Dr. Ramos, Sebastian Roberto",,4032-7119
219,"Dr. Ramos, Sebastián Roberto",JNCRIMCORRFED2@PJN.GOV.AR,4032-7110
220,"Dr. Rappa, Osvaldo Daniel",,
221,"Dr. Rengel Mirat, Carlos Alberto",,4812-0525/0883
222,"Dr. Rengel, Diego",,4124-0949/53
223,"Dr. Rico, Eduardo Manuel",,
224,"Dr. Rimondi, Jorge Luis",,
225,"Dr. Rinaldi, Darío",,
226,"Dr. Rinaldi, Fernando Pedro",,
227,"Dr. Rios, Javier Feliciano",,
228,"Dr. Rivera Solari, Adrián Guillermo",adrian.rivera-solari@pjn.gov.ar,4032-7122
229,"Dr. Robet, Guillermo",,
230,"Dr. Rodriguez, Guillermo",,4373-0377
231,"Dr. Rodríguez Costich, Martín",,2205-8053
232,"Dr. Rodríguez Varela, Ignacio",cncrimcorr.voc10@pjn.gov.ar,4370-4990
233,"Dr. Rofrano, Gustavo Jorge",,4372-1582/4843
234,"Dr. Rojas, Isidro Omar",jncrimcorr56.sec56@pjn.gov.ar,2205-8037/38
235,"Dr. Roldan, Federico",,4130-6229
236,"Dr. Romeo, Jorge Horacio",,
237,"Dr. Romero, Federico Nahuel",,
238,"Dr. Rongo, Guillermo Ricardo",,
239,"Dr. Salas, Luis Roberto José",,4371-2003/9966
240,"Dr. Salvá, Federico Marcelo",,4812-0344/4965
241,"Dr. Sanchez , Marcelo Alejandro",marcelo.sanchez@pjn.gov.ar,4370 4942
242,"Dr. Sanchez Sarmiento, Javier",,
243,"Dr. Sanfilippo, Alejandro José",,
244,"Dr. Sarrabayrouse, Eugenio Carlos",,4124-6626
245,"Dr. Sañudo, Alfredo Alejandro",,4373-0125 / 4371-8748
246,"Dr. Scollo, Javier Francisco",,4032-7464
247,"Dr. Scotto, Mariano Alberto",cncrimcorr.presidencia@pjn.gov.ar,4370-4998
248,"Dr. Slokar, Alejandro Walter",,4032-7431
249,"Dr. Slupski, Diego Javier",,
250,"Dr. Smietniansky, Martín",,4032-7151
251,"Dr. Sposetti, Maximiliano A.",maximiliano.sposetti@pjn.gov.ar,
252,"Dr. Stokfisz, Fernando",,4130-6107
253,"Dr. Strifezza, Juan Pablo",,4373-0149
254,"Dr. Torres, Ariel Hernan",jncrimcorr56.sec56@pjn.gov.ar,42205-8049
255,"Dr. Torres, Ezequiel Matías",,
256,"Dr. Touris, Marcelo Fernando",,
257,"Dr. Valle, Gustavo Pablo",,4372-1582/4843
258,"Dr. Vazquez, Osvaldo Gonzalo",,2205-8017/18
259,"Dr. Vega, Gabriel",,4372-2594/4-371-4795
260,"Dr. Vega, Pablo Daniel",,
261,"Dr. Villanueva, Diego Andrés",,4 371 6366
262,"Dr. Villella, Guillermo Ricardo",,4130-6216
263,"Dr. Wenner , Marcos",marcos.wenner@pjn.gov..ar,
264,"Dr. Yacobucci, Guillermo Jorge",,4032-7410
265,"Dr. Yadarola, Martin",,
266,"Dr. Yadarola, Pablo",jnpenalec2@pjn.gov.ar,4130-6452
267,"Dr. Zabala, Jorge Alejandro",,4032-7341
268,"Dr. Zielli, Juan Patricio",,
269,"Dr. Álvarez Herrero, Sebastián Martín",,
270,"Dr. Álvarez, Matías Horacio",matiash.alvarez@pjn.gov.ar,
271,"Dra. Acosta, María Rita",,
272,"Dra. Acselrad , Flora",cncrimcorr.sala1@pjn.gov.ar,4370-4963
273,"Dra. Adami, Sabrina E.",,4124-0961
274,"Dra. Agostinelli, María Florencia",,
275,"Dra. Aidar, Irma Esther",,
276,"Dra. Alliaud, Alejandra Mercedes",,2205-8030
277,"Dra. Angulo, Graciela",,
278,"Dra. Anselmo, Claudia Sabrina",jncrimcorr52.sec60@pjn.gov.ar,2205-8007/8
279,"Dra. Arancibia, Fernanda Alejandra",,4032-7677
280,"Dra. Auletta, Karina",,4371-3022
281,"Dra. Baez Zabala, Cynthia",,
282,"Dra. Bajlec, María Silvina",,
283,"Dra. Barczuk, María Desirée",jnpenaleconomico11.sec21@pjn.gov.ar,4124-7081/7089
284,"Dra. Barrionuevo, Liliana Noemi",,4379-2182/2184
285,"Dra. Basso Craig, Marcela",,4130-6115
286,"Dra. Becchi, Patricia",,8121006
287,"Dra. Berlingieri, Rosana Verónica",,4130-6524/6526
288,"Dra. Bernan, Yamile Susana",,4371-6518
289,"Dra. Bianchi, María José",maria.bianchi@pjn.gov.ar,
290,"Dra. Bisaccia, Marisa",,4032-7264/7466
291,"Dra. Biuso, Silvia Alejandra",,
292,"Dra. Bloch, Ivana Verónica",ivana.bloch@pjn.gov.ar,4371-2123/2119
293,"Dra. Bloj, Yael",,4370-4936
294,"Dra. Bresciani , Verónica",,
295,"Dra. Bruniard, Laura Graciela",,
296,"Dra. Busi Chaves, Alejandra",jncrimcorr51.sec58@pjn.gov.ar,2205-8054/55/56
297,"Dra. Busso, Mónica E.",,
298,"Dra. Bustillo, Inés María",,4812-0344/4531
299,"Dra. Cabeza Díaz, Marcela",,
300,"Dra. Calaon, Mariana",,4032-7363
301,"Dra. Campagnoli, Andrea Fabiana",,
302,"Dra. Canella, Rosana Maria",,4130-6229
303,"Dra. Cano Frers, Josefina",,
304,"Dra. Cantisani, Ines",,4124 0945/ 0938/41
305,"Dra. Capuchetti, María Eugenia",jncrmcorrfed9@pjn.gov.ar,
306,"Dra. Carande, Maria Martha",maria.carande@pjn.gov.ar,
307,"Dra. Carbajales , María Inés",,4130-6281/82/83
308,"Dra. Caron, Albertina Anatonia",albertina.caron@pjn.gov.ar,4032-7122
309,"Dra. Cassani, María Belén",tocriminal7@pjn.gov.ar,4372-2594/4-371-4795
310,"Dra. Castro, Jimena Inés",,
311,"Dra. Cavalleri, Claudia Leticia",jncrimcorr54@pjn.gov.ar,
312,"Dra. Cavallero, María del Pilar",,
313,"Dra. Chaij, Mariana Leonor",,4124-7063
314,"Dra. Charnis, María Laura",,4032-7186
315,"Dra. Chena Cullen , María Raquel",jncrimcorr21@pjn.gov.ar jncrimcorr21.sec165@pjn.gov.ar,4371-3155 / 4373-6082
316,"Dra. Cicchetti, Cynthia",,4032 7244/45
317,"Dra. Cicconi, Sabrina",,
318,"Dra. Columba, Fabiola",,
319,"Dra. Currais, Mariana",,
320,"Dra. Cusmanich, Patricia Elisa",,4032-7299/7300
321,"Dra. D'Esposito, Maria Ines",jncrimcorr55@pjn.gov.ar,
322,"Dra. Dankert, Maria Veronica",,4130-6246
323,"Dra. Daray, María Florencia",maria.daray@pjn.gov.ar,4 370 4916
324,"Dra. Dato, Maria Ines",maria.dato@pjn.gov.ar,4130-6136
325,"Dra. De Giacomi, Cecilia Andrea",cecilia.de-giacomi@pjn.gov.ar,
326,"Dra. De Oyarbide Castillo, Constanza",,4130-6246
327,"Dra. De Rosa, Veronica",,4371-1322
328,"Dra. De Rosa, Viviana Carla",viviana.derosa@pjn.gov.ar,4130-6139
329,"Dra. Debenedetto Regueira, María Elina",,
330,"Dra. Decarli, Virginia Laura",virginia.decarli@pjn.gov.ar,4370-4933
331,"Dra. Di Nardo, María Victoria",,
332,"Dra. Dieta de Herrero, Ana",,4813-4663/6291
333,"Dra. Diez, María de los Ángeles",,
334,"Dra. Doorn, Lucía",,
335,"Dra. Dropulich, Paola",,4124-6623
336,"Dra. Durao, Dolores",,4032-7354
337,Dra. Elena Nolasco Highton,,(11) 4370 4285
338,"Dra. Esposito, Anabella Elizabeth",,4124-7068
339,"Dra. Estevez, Mariela Silvina",,
340,"Dra. Fernandez, Stella M.",,2205-8031
341,"Dra. Fernández Funes, María Constanza",,
342,"Dra. Franco, Maria Veronica",marivefranco@gmail.com,
343,"Dra. Fuertes, Paula",paula.fuertes@pjn.gov.ar,4370 4996
344,"Dra. Galletti, María Fabiana",,2205-8022
345,"Dra. Galli, María José",,
346,"Dra. Gallo, María Dolores",dolores.gallo@pjn.gov.ar,
347,"Dra. Gambirassi, María Inés",,4032-7106
348,"Dra. García, Tamara Julieta",,
349,"Dra. García, Verónica Georgina Luján",veronica.garcia@pjn.gov.ar,4130-6287
350,"Dra. Garzon, Nancy Beatriz",jnpenaleconomico10.sec19@pjn.gov.ar,4124-7078/7079
351,"Dra. Geijo, María Florencia",,
352,"Dra. Ghirardelli, Maria Gabriela",,
353,"Dra. Glineur, Mariana Elsa",,4372-9266/3665
354,"Dra. Glujovsky, Déborah",,4032-7464/6
355,"Dra. Godoy, María Ximena",,4032-7343
356,"Dra. Gonzalez, Karina Marcela",,
357,"Dra. González, Paula Verónica",,
358,"Dra. Gorsd, Paula",,4124-6617
359,"Dra. Guerra, Romina Ayelén",,
360,"Dra. Guzzardi, Ana Silvia",,
361,"Dra. Gómez Maiorano, Ángeles Mariana",,
362,"Dra. Halata, Miriam Andrea",,
363,"Dra. Hendler, Martha Lorena",,4130-6290
364,"Dra. Hopp, Cecilia",,4032-7380
365,"Dra. Iriart, Silvina Patricia",,4375-0882/0705
366,"Dra. Klappenbach, Maria Isabel",,3823344
367,"Dra. Kohen, Paola Yanina",,
368,"Dra. Lamas, Lorena Karina",,4 371 0503
369,"Dra. Lara, Verónica Mariana",,4032-7159
370,"Dra. Lasala, Evangelina María",toc29@pjn.gov.ar,4813-7312
371,"Dra. Laíño Dondiz, Magdalena",cncrimcorr.voc3@pjn.gov.ar,4370-4940
372,"Dra. Le Pera, Natalia Noel",,
373,"Dra. Ledesma, Angela Ester",,4032-7492
374,"Dra. Leon, Myrna Iris",,
375,"Dra. Licata Caruso, Carla",jnpenaleconomico11.sec22@pjn.gov.ar,4124-7081/7089
376,"Dra. Llinas, Solange",,
377,"Dra. Lores Arnaiz, Carolina",,4032 7183
378,"Dra. Lospenatto, Mónica Beatriz",,4124-0949/53
379,"Dra. Lópes, Analía",,4379-0107
380,"Dra. Mallo, Patricia Gabriela",,4124-0931/37/47
381,"Dra. Mangeri Cobas, Anahí",cncrimcorr.sala1@pjn.gov.ar,4370-4963
382,"Dra. Marinez Espinoza, Alejandra",,
383,"Dra. Mariño, Soledad Eugenia",,
384,"Dra. Martinez, María Fernanda",,4371-3575
385,"Dra. Martínez , Mónica Patricia",,
386,"Dra. Mendieta, Carla",,
387,"Dra. Miranda, Ángeles",toc29@pjn.gov.ar,4813-7312
388,"Dra. Monferrer, Analía S.",,
389,"Dra. Morillo Guglielmi, Gisela",gisela.morillo-guglielmi@pjn.gov.ar,4370-4995
390,"Dra. Mánico, Silvana Belén",,
391,"Dra. Namer, Sabrina",,4032-7308/7309
392,"Dra. Neme, Ivana Carolina",,
393,"Dra. Neuville, María de los Ángeles",jncrimcorr58.sec64@pjn.gov.ar,4327-0253 / 4327-0280
394,"Dra. Nicocia, Laura Irene",,
395,"Dra. Nieto , Soledad",,
396,"Dra. Oberlander, Cinthia Raquel",,4372-7126 // 4370-4932
397,"Dra. Olivera, Aldana Romina",,4130 6245
398,"Dra. Oliviero, Cecilia",cecilia.oliviero@pjn.gov.ar,4370-5167
399,"Dra. Otero, María Inés",cncrimcorr.sala6@pjn.gov.ar,4370-4928
400,"Dra. Paez, Lorena Alejandra",,2205-8001
401,"Dra. Pagliano, Carolina Inés",,
402,"Dra. Paisan, Elizabeth Alejandra",,
403,"Dra. Palmaghini, Fabiana Emma",,
404,"Dra. Parafita, María Gabriela",,
405,"Dra. Patricios, Maria Josefina",,
406,"Dra. Peluffo, Vanesa Alejandra",,
407,"Dra. Pepe, Sandra",,
408,"Dra. Perilli, Karina Rosario",,4032-7363 / 7362
409,"Dra. Perzan, María Cecilia",,4372 4679
410,"Dra. Petazzi, Paula",,
411,"Dra. Poleri, Ana",ana.poleri@pjn.gov.ar,4370-5139
412,"Dra. Potes, Verónica",,
413,"Dra. Provítola, Maria Alejandra",jncrimcorr6@pjn.gov.ar,4124-5434
414,"Dra. Páez, Sonia Elizabeth",,
415,"Dra. Quinteros, Ivana Sandra",,4032-7542
416,"Dra. Raposeiras, Lucía del Pilar",,4032-7425
417,"Dra. Raña, Andrea Fabiana",andrea.rana@pjn.gov.ar,4370-4994
418,"Dra. Robiglio, Carolina Laura Inés",,4130-6113
419,"Dra. Robles, María Lujan",,4371-0737
420,"Dra. Rodriguez Basavilbaso, Silvina",,
421,"Dra. Rodriguez, Andrea",,
422,"Dra. Rodríguez Pacilly, María Agustina",,
423,"Dra. Rodríguez, Alejandra",,
424,"Dra. Rodríguez, Carina Nancy",,
425,"Dra. Rombolá, Carolina Andrea",,4032-7354
426,"Dra. Romero, Sandra",,4124-7078/7079
427,"Dra. Rosciani, Andrea Veronica",andrea.rosciani@pjn.gov.ar,
428,"Dra. Rosito Peralta Urquiza, Maria Valeria",,4130-6123/6125
429,"Dra. Saa, Valeria",,4379-2188/2190
430,"Dra. Sansone, María Virginia",,4124-0966/74
431,"Dra. Sanz, Paula",,4032-7143
432,"Dra. Saá, Mercedes",,4124 0966
433,"Dra. Seijas, María Florencia",,
434,"Dra. Servini, Maria Romilda",jncrimcorrfed1@pjn.gov.ar,4371-4732 4371-1330
435,"Dra. Silva, Alejandra",alejandra.silva@pjn.gov.ar,
436,"Dra. Silvano Pelizza, Carolina",,
437,"Dra. Sircovich, Jesica Yael",,
438,"Dra. Smith, María Alejandra",,4032-7352
439,"Dra. Soprano, Maite Miriam",,
440,"Dra. Sosa, María Julia",,4032-7175
441,"Dra. Straccia, Maria Veronica",,4124-7081/7083
442,"Dra. Sáenz Samaniego, Lucrecia",,
443,"Dra. Talarico, Maria Victoria",,4032-7544
444,"Dra. Tellechea Suárez, Mariana Andrea",,4032-7413
445,"Dra. Toso, Cecilia Fernanda",jncrimcorr23.sec158@pjn.gov.ar,4373-0377
446,"Dra. Turconi, Maria Laura",,
447,"Dra. Turner, Mariana",,
448,"Dra. Uhrlandt, Erica María",,
449,"Dra. Vanella, Carolina Alejandra",,4130-6117
450,"Dra. Vega, Ana Laura",,
451,"Dra. Vites, Sandra Cristina",,
452,"Dra. Wüllich, Delfina María",,
453,"Dra. Zabala Duffau, Andrea M.",,4130/6278/79/80
454,"Dra. Zucconi, Karina Mariana",karina.zucconi@pjn.gov.ar,
455,"Dra. da Rocha, Maria Clara",,4032-7363/58
456,"Sr. Bauman , Ezequiel",toc29@pjn.gov.ar,4813-7312
457,"Sr. Caride, Miguel Carlos",,
458,"Sr. López, José Andrés",,
459,"Sr. Mazzucchelli, Gustavo César",,4370-4930
460,"Sr. Núñez, Javier Horacio",javierh.nunez@pjn.gov.ar,4370-4933
461,"Sr. Olazagoitía, Patricio",,
462,"Sr. Rosas, Juan Manuel",,
463,"Sra. Ferreiro, Analía Laura",,
